Rk,School,Year,SRS,SOS,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,2025,-5.47,-2.02,70.6,70.3,25.6,57.7,0.444,4.56,15.1,0.302,14.9,20.8,0.715,11.1,33.8,13.2,10.3,2.94,14.9,20.9
2,Air Force,2025,-7.9,3.82,61.9,73.7,21.3,50.5,0.421,8.09,24.5,0.331,11.3,17.9,0.635,7.38,29.9,13.4,5.66,2.84,13.5,17.8
3,Akron NCAA,2025,3.71,-4.36,84.6,74.5,30.6,64.6,0.473,10.9,29.8,0.364,12.6,16.8,0.753,12.1,39,18.1,7.71,3.74,12,17.9
4,Alabama NCAA,2025,26.04,16.35,91.1,81.4,31.1,64.4,0.483,10.4,29.8,0.35,18.5,25.8,0.716,12.9,43.1,16.8,6.06,4.45,12.8,19
5,Alabama A&M,2025,-20.37,-9.79,73,78.8,24.8,61.4,0.404,8.03,25.2,0.318,15.3,23.1,0.664,14,36.6,13.5,8.31,4.09,16,21.5
6,Alabama State NCAA,2025,-9.27,-9.04,73.3,72.1,25.8,63.7,0.406,8.97,27.2,0.329,12.7,18.5,0.689,11.7,36.2,11.8,7.86,2.8,9.06,18.1
7,Albany (NY),2025,-9.49,-8.3,74.6,73.8,27.3,61.9,0.441,7.21,22.3,0.323,12.8,17.9,0.716,11.9,33.8,12.5,8.27,2.33,10.8,17.4
8,Alcorn State,2025,-13.83,-6.73,65,72.1,23.6,57.3,0.411,5.34,16.8,0.318,12.6,17.5,0.717,11.8,34,10.3,6.59,2.69,13.1,17
9,American NCAA,2025,-7.03,-6.56,68.6,67.3,23.9,54,0.443,8.41,24.2,0.347,12.4,16.4,0.756,7.71,30.3,12.5,6.62,1.85,11.1,17.9
10,Appalachian State,2025,-2.34,-3.58,67.8,63.5,23.8,54.6,0.436,7.74,22.5,0.344,12.5,19.1,0.651,9.81,36.9,12.5,5.52,3.68,10.8,13.4
11,Arizona NCAA,2025,23.13,13.84,81.7,72.4,28.7,60.8,0.473,6.82,21.1,0.324,17.4,22.2,0.784,12.2,39.6,16.3,7.71,4.29,11.5,16.6
12,Arizona State,2025,11.2,13.73,73.9,76.5,25.1,57.4,0.438,8.78,24.6,0.358,14.9,20.6,0.724,8.81,34.2,12.9,5.38,4.44,12.3,17
13,Arkansas NCAA,2025,16.67,11.21,76.6,71.2,27.2,58.2,0.466,7.12,21.4,0.333,15.2,20.7,0.734,9.21,35.3,14.5,7.61,5.64,11.7,16.1
